TSB Ergonomic Report
  Job Title: angkat beras
  Job Number: 01
  Location: kediri
  Analyst: sudiarta
  Date: 2/20/2021
  Comments: beras 50KG x10
  



Time (sec),,, Joint Angles (deg),,,,,,,,,,,,,,,,,,,,,,,Joint Torques (Nm),,,,,,,,,,,,,,,,,,,,,,,Mean Strengths (Nm),,,,,,,,,,,,,,,,,,,,,,,Strength Std Devs (Nm),,,,,,,,,,,,,,,,,,,,,,,Percent Capables (%),,,,,,,,,,,,,,,,,,,,,,,
Time,Task,Action,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,Wrist Flex Ext Left,Wrist Flex Ext Right,Wrist Rad Ulnar Dev Left,Wrist Rad Ulnar Dev Right,Forearm Sup Pro Left,Forearm Sup Pro Right,Elbow Right,Elbow Left,Shoulder Abd Right,Shoulder Abd Left,Shoulder For Back Right,Shoulder For Back Left,Humeral Rot Right,Humeral Rot Left,Trunk Flex Ext,Trunk Lateral,Trunk Rotation,Hip Flex Ext Right,Hip Flex Ext Left,Knee Flex Ext Right,Knee Flex Ext Left,Ankle Flex Ext Right,Ankle Flex Ext Left,
0.000, Get_karung0,Walk,0.000,0.000,-0.000,-0.000,-0.000,-0.000,175.000,175.000,0.822,0.822,89.999,89.999,0.001,0.001,90.000,0.000,0.000,178.773,178.834,170.605,170.131,83.297,80.405,-0.005,-0.005,-0.036,-0.036,0.000,0.000,-0.132,-0.132,0.206,0.206,0.024,0.024,0.000,0.000,-4.267,-0.025,0.000,-3.490,-2.931,-2.583,-2.268,-31.822,-26.721,9.228,9.922,10.230,11.000,13.580,14.340,66.162,61.531,101.072,93.997,93.861,87.291,55.948,52.031,219.923,152.554,85.602,196.153,196.158,141.377,140.947,148.760,153.104,2.953,3.175,3.274,3.520,4.617,4.876,16.257,15.119,31.658,29.442,27.416,25.497,14.315,13.313,69.292,32.990,22.901,78.749,78.751,41.635,41.508,49.194,50.630,99.910,99.910,99.907,99.908,99.836,99.836,100.000,100.000,99.928,99.927,100.000,100.000,100.000,100.000,99.907,100.000,100.000,99.278,99.292,99.957,99.958,99.127,99.371,
0.033, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,175.001,175.001,1.216,1.216,51.697,51.697,58.283,58.283,90.000,0.000,0.000,178.770,178.834,170.605,170.131,83.308,80.405,-0.005,-0.005,-0.036,-0.036,0.000,0.000,-0.131,-0.131,0.077,0.077,0.195,0.195,-0.000,0.000,-4.293,-0.025,0.000,-3.503,-2.946,-2.586,-2.282,-31.810,-26.763,9.228,9.922,10.230,11.000,13.580,14.340,66.124,61.495,81.059,75.385,89.408,83.150,34.066,58.442,219.923,152.554,85.602,196.152,196.158,141.377,140.947,148.744,153.104,2.953,3.175,3.274,3.520,4.617,4.876,16.248,15.111,25.389,23.612,26.115,24.287,7.716,14.953,69.292,32.990,22.901,78.749,78.751,41.635,41.508,49.188,50.630,99.910,99.910,99.907,99.908,99.836,99.836,100.000,100.000,99.928,99.928,100.000,100.000,100.000,100.000,99.907,100.000,100.000,99.278,99.292,99.957,99.958,99.127,99.370,
0.067, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,161.898,161.794,5.544,5.740,-39.567,-32.738,-18.246,-20.004,90.000,0.000,0.000,178.680,178.717,170.386,169.859,83.200,80.271,-0.004,-0.004,-0.057,-0.057,0.001,0.001,-0.429,-0.434,-0.751,-0.739,0.093,0.114,-0.002,-0.002,-3.450,-0.101,0.001,-3.033,-2.566,-1.846,-1.600,-31.282,-26.474,9.228,9.922,10.230,11.000,13.580,14.340,69.017,64.191,90.038,83.879,78.002,73.222,30.193,29.720,220.177,152.554,85.602,196.145,196.148,141.179,140.700,148.905,153.305,2.953,3.175,3.274,3.520,4.617,4.876,16.959,15.773,22.157,20.642,22.783,21.387,6.838,6.731,69.372,32.990,22.901,78.746,78.748,41.577,41.436,49.242,50.697,99.910,99.910,99.905,99.906,99.836,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.910,100.000,100.000,99.289,99.301,99.960,99.960,99.154,99.381,
0.100, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,93.753,95.320,22.402,20.169,-26.030,-13.934,-24.868,-31.227,90.000,0.000,0.000,178.620,178.427,169.461,168.600,81.960,79.915,0.022,0.021,-0.162,-0.160,0.009,0.008,-2.051,-2.084,-1.547,-1.151,-0.800,-0.910,-0.312,-0.329,-3.838,-0.421,0.026,-3.004,-2.819,-0.549,0.066,-29.131,-27.301,7.595,8.166,10.230,11.000,13.580,14.340,75.602,70.491,79.177,74.650,100.938,95.134,34.308,35.407,220.386,152.554,85.602,196.140,196.125,140.339,120.816,150.769,153.840,2.430,2.613,3.274,3.520,4.617,4.876,18.577,17.321,19.485,18.370,27.539,25.956,7.770,8.019,69.438,32.990,22.901,78.744,78.738,41.329,42.282,49.858,50.873,99.908,99.908,99.895,99.896,99.835,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.909,100.000,100.000,99.290,99.295,99.964,99.785,99.264,99.356,
0.133, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,81.008,84.792,22.679,20.508,-2.711,16.322,-46.458,120.277,90.000,0.000,0.000,179.544,179.339,170.841,170.144,81.807,80.930,0.048,0.046,-0.173,-0.174,0.014,0.013,-2.207,-2.213,-1.652,-1.483,-1.455,-1.809,-0.589,-0.616,-6.218,-0.428,0.061,-4.064,-4.048,-3.119,-2.552,-28.612,-28.471,7.595,8.166,10.230,11.000,13.580,14.340,75.432,70.436,79.533,58.308,101.328,96.012,43.402,13.493,218.385,152.554,85.602,196.219,196.201,141.591,140.959,150.998,152.316,2.430,2.613,3.274,3.520,4.617,4.876,18.535,17.307,19.572,14.349,27.646,26.195,9.830,3.056,68.808,32.990,22.901,78.776,78.769,41.698,41.512,49.934,50.370,99.905,99.905,99.893,99.895,99.834,99.835,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.897,100.000,100.000,99.263,99.264,99.955,99.957,99.287,99.302,
0.167, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,180.000,150.000,12.131,7.210,-9.149,-0.590,-97.468,-88.242,92.500,2.500,1.250,171.160,171.616,150.768,151.455,71.170,71.017,0.014,0.023,-0.093,0.006,0.009,0.000,0.116,-1.096,2.030,-1.456,0.004,-1.144,0.010,-0.172,-0.702,4.371,-0.101,-1.449,-1.274,22.265,19.788,-33.086,-29.347,7.595,8.166,10.230,9.100,13.580,14.340,33.030,66.381,74.379,88.823,79.917,102.393,22.150,48.429,235.555,138.854,84.109,195.790,195.797,151.445,150.565,166.976,167.206,2.430,2.613,3.274,2.912,4.617,4.876,6.648,16.311,23.297,21.858,23.343,27.936,5.667,10.969,74.218,31.238,22.501,78.604,78.607,53.001,52.693,55.218,55.294,99.909,99.908,99.902,99.910,99.835,99.836,100.000,100.000,99.905,100.000,100.000,100.000,100.000,100.000,99.922,100.000,100.000,99.328,99.332,99.259,99.346,99.233,99.366,
0.200, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,178.455,151.545,12.389,7.324,-15.624,-1.249,-76.204,-87.592,92.500,2.500,1.250,174.006,172.751,153.402,151.347,70.958,69.763,0.014,0.023,-0.089,0.005,0.008,0.000,0.111,-1.039,-2.114,-1.457,-0.050,-1.091,-0.001,-0.163,-0.430,4.103,-0.090,-1.244,-1.209,14.594,18.294,-38.062,-37.389,7.595,8.166,10.230,9.100,13.580,14.340,33.196,66.090,98.041,88.964,110.029,102.435,46.581,48.182,230.379,138.854,84.109,195.864,195.822,147.947,150.705,167.294,169.090,2.430,2.613,3.274,2.912,4.617,4.876,6.681,16.240,24.127,21.893,30.019,27.948,10.550,10.913,72.587,31.238,22.501,78.634,78.617,51.777,52.742,55.323,55.917,99.909,99.908,99.902,99.910,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.923,100.000,100.000,99.333,99.334,99.499,99.396,99.025,99.074,
0.233, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,176.909,153.091,12.510,7.442,-17.729,-2.894,-74.148,-85.965,92.500,2.500,1.250,177.170,171.415,156.734,147.636,71.127,67.313,0.014,0.023,-0.084,0.003,0.008,0.000,0.068,-0.975,-2.143,-1.445,-0.111,-1.038,-0.013,-0.154,-0.308,3.840,-0.082,-7.555,-4.914,11.775,2.934,-94.164,-0.507,7.595,8.166,10.230,9.100,13.580,14.340,33.374,65.792,97.584,89.009,109.765,102.422,45.739,47.567,223.527,138.854,84.109,196.033,195.793,143.034,155.173,167.040,172.769,2.430,2.613,3.274,2.912,4.617,4.876,6.717,16.167,24.014,21.904,29.948,27.944,10.359,10.773,70.428,31.238,22.501,78.701,78.605,50.058,54.306,55.239,57.133,99.909,99.908,99.903,99.910,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.923,100.000,100.000,99.168,99.241,99.562,99.746,90.650,99.871,
0.267, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,175.364,154.636,12.421,7.579,-16.204,-5.472,-75.637,-83.414,92.500,2.500,1.250,179.179,168.838,161.117,142.725,71.861,65.000,0.013,0.018,-0.079,-0.011,0.008,0.002,-0.015,-0.907,-2.111,-1.428,-0.186,-0.985,-0.026,-0.145,-0.324,3.574,-0.076,-8.772,-6.225,-9.378,3.238,-111.600,-0.507,7.595,8.166,10.230,11.000,13.580,14.340,64.952,65.486,97.519,88.963,109.765,102.354,46.349,46.602,219.176,138.854,84.109,196.187,195.783,132.766,160.114,165.938,176.244,2.430,2.613,3.274,3.520,4.617,4.876,15.960,16.091,23.998,21.893,29.947,27.925,10.498,10.555,69.057,31.238,22.501,78.763,78.601,39.099,56.035,54.874,58.282,99.909,99.909,99.903,99.910,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.923,100.000,100.000,99.132,99.205,99.920,99.744,83.902,99.871,
0.300, ,,0.000,0.000,-0.000,-0.000,-0.000,-0.000,173.818,156.182,12.206,7.747,-11.486,-8.831,-80.247,-80.089,92.500,2.500,1.250,174.537,165.966,167.601,138.469,73.703,65.000,0.013,0.019,-0.074,-0.019,0.007,0.003,-0.117,-0.832,-2.064,-1.412,-0.264,-0.929,-0.038,-0.136,-0.439,3.316,-0.071,-10.357,-7.819,-36.298,3.422,-128.922,-0.500,7.595,8.166,10.230,11.000,13.580,14.340,65.394,65.169,97.793,88.837,109.982,102.236,48.237,45.344,229.230,138.854,84.109,195.886,195.843,138.651,163.545,163.171,176.244,2.430,2.613,3.274,3.520,4.617,4.876,16.069,16.013,24.066,21.862,30.007,27.893,10.925,10.270,72.225,31.238,22.501,78.642,78.625,40.832,57.236,53.959,58.282,99.909,99.909,99.904,99.909,99.835,99.836,100.000,100.000,100.000,100.000,100.000,100.000,100.000,100.000,99.923,100.000,100.000,99.083,99.160,99.390,99.742,73.725,99.871,
